group	SYMBOL.Mm	Species
Brain	Gad1	Rat
Brain	Cbln1	Rat
Pancreas	Tmed11	Rat
Kidney	Slc26a1	Rat
Liver	Slc26a1	Rat
Brain	Abhd8	Rat
Brain	Cplx2	Rat
Liver	Cdo1	Rat
Kidney	Gatm	Rat
Liver	Tmprss6	Rat
Kidney	Csf2rb2	Rat
Kidney	Csf2rb	Rat
Stomach	Cyp19a1	Rat
Colon	St6galnac1	Rat
Brain	Phyhipl	Rat
Brain	Prrt1	Rat
Brain	Syngap1	Rat
Colon	Spdef	Rat
Stomach	Clps	Rat
Pancreas	Clps	Rat
Esophagus	Pi16	Rat
Brain	Tspyl4	Rat
Esophagus	Lrrc20	Rat
Quadriceps	Lrrc20	Rat
Liver	Pald1	Rat
Kidney	Pcbd1	Rat
Liver	Pcbd1	Rat
Kidney	Mfsd4b5	Rat
Quadriceps	Ube2d1	Rat
Brain	Zfp365	Rat
Ileum	Ptprc	Rat
Brain	Svop	Rat
Brain	Gabbr1	Rat
Brain	Mog	Rat
Brain	Fabp7	Rat
Liver	Fabp7	Rat
Brain	Atp6v1g2	Rat
Liver	Apom	Rat
Kidney	Apom	Rat
Liver	Asl	Rat
Kidney	Asl	Rat
Quadriceps	Phkg1	Rat
Kidney	Psph	Rat
Liver	Cyp3a57	Rat
Liver	Cyp3a25	Rat
Liver	Cyp3a59	Rat
Liver	Cyp3a16	Rat
Liver	Cyp3a41b	Rat
Liver	Cyp3a41a	Rat
Liver	Cyp3a44	Rat
Liver	Cyp3a11	Rat
Brain	Pcp2	Rat
Esophagus	Ocm	Rat
Liver	Itih2	Rat
Kidney	Kl	Rat
Brain	Mmd2	Rat
Pancreas	Pla2g1b	Rat
Stomach	Pla2g1b	Rat
Stomach	Tff1	Rat
Brain	Cabp1	Rat
Esophagus	Gltp	Rat
Liver	Ftcd	Rat
Heart	Atp2a2	Rat
Brain	S100b	Rat
Liver	Azgp1	Rat
Kidney	Hpd	Rat
Liver	Hpd	Rat
Brain	Rph3a	Rat
Liver	Tfr2	Rat
Ileum	Cldn4	Rat
Duodenum	Cldn4	Rat
Jejunum	Cldn4	Rat
Brain	Slc8a2	Rat
Brain	Tmem35a	Rat
Brain	Rapgef4	Rat
Heart	Pdk1	Rat
Brain	Gap43	Rat
Brain	Ttc3	Rat
Liver	Bdh1	Rat
Duodenum	Slc51a	Rat
Jejunum	Slc51a	Rat
Ileum	Slc51a	Rat
Liver	Fetub	Rat
Liver	Hrg	Rat
