SYMBOL	FC.Mouse A	FC.Mouse D	FC.Mouse B	FC.Mouse C	FC.Rat	FDR.Mouse A	FDR.Mouse D	FDR.Mouse B	FDR.Mouse C	FDR.Rat	DE.Mouse A	DE.Mouse D	DE.Mouse B	DE.Mouse C	DE.Rat
Gatm	-13.54	-2.06	-4.15	-32.79	-3.92	1.77e-8	0.0783	0.0373	NA	0.3231	-1	0	-1	-1	0
Nts	-13.56	NA	NA	-62.59	-35.39	5.41e-8	NA	NA	NA	2e-4	-1	NA	NA	-1	-1
Gpr50	-12.46	1.03	1	-1.02	-9.55	6.15e-8	0.954	0.9979	NA	0.0139	-1	0	0	0	-1
Oas1e	-7.81	NA	NA	-1.82	-1.18	6.15e-8	NA	NA	NA	0.7443	-1	NA	NA	0	0
Pyy	-5.95	NA	NA	-8.86	-4.93	6.15e-8	NA	NA	NA	6e-4	-1	NA	NA	-1	-1
Mup7	-25.51	-5.25	-7.43	NA	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup1	-25.51	-5.25	-7.43	-182	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	-1	0
Mup19	-21.35	-5.25	-7.43	NA	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup18	-21.35	-5.25	-7.43	NA	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup14	-21.35	-5.25	-7.43	NA	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup17	-21.35	-5.25	-7.43	NA	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup13	-21.35	-5.25	-7.43	NA	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup-ps17	-21.35	1.14	-1.03	NA	NA	6.15e-8	0.9747	0.9611	NA	NA	-1	0	0	NA	NA
Mup11	-21.35	-5.25	-7.43	NA	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup9	-21.35	-5.25	-7.43	NA	-2.57	6.15e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Mup16	-18.22	-5.25	-7.43	NA	-2.57	7.68e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Cyp1a2	-9.56	-2.59	-1.79	-3.25	-1.08	7.72e-8	0.1266	0.0731	NA	0.9231	-1	0	0	0	0
Mup8	-25.31	-5.25	-7.43	NA	-2.57	7.72e-8	0.0226	0.0227	NA	0.2545	-1	-1	-1	NA	0
Fgg	-5.61	-4.47	-9.01	-49.36	-4.42	8.23e-8	0.0307	0.0353	NA	0.0472	-1	-1	-1	-1	-1
