Gene,Young_HE,Young_KO,Old_HE,Old_KO,Tissue
Ifit2,1,0.3,0.28,0.12,Thymus
,0.2,0.17,1.32,0.3,Thymus
,0.26,0.82,1.65,0.14,Thymus
,1.2,0.84,0.7,0.2,Thymus
,0.44,0.8,0.8,0.05,Thymus
Ifit3,1,0.14,245,81.78,Thymus
,0.67,0.7,457,107.27,Thymus
,0.8,0.31,186.68,17.38,Thymus
,0.48,0.52,167,9.67,Thymus
,1.3,0.3,120,45.06,Thymus
Ifi27,1,0.45,1.5,0.28,Thymus
,0.45,0.12,2.34,0.47,Thymus
,0.63,0.12,0.81,0.08,Thymus
,1.08,0.42,0.61,0.04,Thymus
,1.2,0.72,1.87,0.25,Thymus
Irf7,1,1.11,11.04,2.1,Thymus
,1.05,0.23,6.56,0.7,Thymus
,1.26,0.12,3.42,0.79,Thymus
,0.87,0.69,5.42,0.4,Thymus
,1.58,1.13,4.26,0.32,Thymus
Isg15,1,0.9,2.2,0.25,Thymus
,0.98,0.23,1.45,0.12,Thymus
,0.83,0.12,0.45,0.18,Thymus
,0.46,0.12,0.55,0.1,Thymus
,0.2,0.62,1.23,0.2,Thymus
Mx1,1,1.5,0.47,0.62,Thymus
,0.34,0.23,0.42,0.15,Thymus
,1.2,0.8,0.7,0.04,Thymus
,1.87,0.43,1.3,0.01,Thymus
,0.69,0.57,1.2,0.33,Thymus
Mx2,1,1.72,1.6,0.87,Thymus
,0.61,0.8,1.49,0.96,Thymus
,0.99,1.1,1.38,0.31,Thymus
,0.8,0.56,2.33,0.03,Thymus
,1.2,0.37,1.1,0.2,Thymus
Oas1b,1,0.75,1.4,0.85,Thymus
,0.41,0.11,0.31,0.56,Thymus
,0.39,0.87,1.09,0.21,Thymus
,0.7,0.4,1.1,0.27,Thymus
,1.31,0.31,1.21,0.4,Thymus
Oas2,1,0.98,1.23,0.32,Thymus
,1.57,0.23,0.87,1.2,Thymus
,1.2,0.12,1.64,1.34,Thymus
,0.8,0.7,2.14,0.87,Thymus
,0.61,0.47,1.95,0.5,Thymus
RTce10,1.5,1.22,1,0.95,Thymus
,2.43,0.23,1.98,0.56,Thymus
,1.95,0.12,1.28,0.21,Thymus
,1.96,0.77,1.33,0.53,Thymus
,2.81,0.81,2.2,0.66,Thymus
Ifit2,1,0.67,0.87,0.4,Spleen
,0.42,1.05,1.11,0.35,Spleen
,0.64,0.26,1.66,0.46,Spleen
,0.32,0.17,1.13,0.7,Spleen
,1.2,0.49,0.77,0.2,Spleen
,0.46,0.11,,0.48,Spleen
Ifit3,0.9,1.41,2.63,1.2,Spleen
,0.52,1.37,1.87,0.08,Spleen
,0.53,0.03,1.62,0.6,Spleen
,0.71,0.17,2.92,0.98,Spleen
,1.3,1.2,4.27,1.57,Spleen
,0.71,0.57,,0.33,Spleen
Ifi27,1.2,0.47,0.05,0.57,Spleen
,0.83,0.76,0.32,0.35,Spleen
,0.76,0.54,0.75,0.61,Spleen
,0.6,0.06,0.65,0.19,Spleen
,0.75,1.03,0.98,0.7,Spleen
,0.48,0.14,,0.25,Spleen
Irf7,1,1.97,3.75,0.63,Spleen
,2.13,1.2,6.09,0.79,Spleen
,2.4,0.67,5.24,1.78,Spleen
,1.83,2.64,7.13,1.6,Spleen
,0.86,2.9,12,4.92,Spleen
,0.16,2.6,,0.4,Spleen
Isg15,1,0.51,1.35,0.23,Spleen
,0.58,0.75,1.78,0.1,Spleen
,0.44,0.17,0.52,0.48,Spleen
,0.13,0.15,1.15,0.39,Spleen
,0.27,0.29,1.06,0.69,Spleen
,0.28,0.08,,0.09,Spleen
Mx1,1,1.08,0.3,0.24,Spleen
,1.22,0.8,0.47,0.3,Spleen
,0.04,0.37,0.65,0.25,Spleen
,0.82,0.35,0.47,0.06,Spleen
,0.99,2.14,0.25,0.15,Spleen
,0.24,0.09,,0.18,Spleen
Mx2,1,1.67,22.87,11.57,Spleen
,0.81,1.6,17.84,3.15,Spleen
,0.66,0.73,32.34,13.75,Spleen
,0.35,0.41,27.08,18.9,Spleen
,1.75,1.22,23.55,23.43,Spleen
,0.62,0.87,,5.64,Spleen
Oas1b,1,0.23,0.8,0.17,Spleen
,0.8,0.93,0.9,0.38,Spleen
,1.65,0.83,1.75,0.75,Spleen
,1.08,0.35,0.78,0.34,Spleen
,0.86,1.27,1.13,0.83,Spleen
,1,0.66,,0.26,Spleen
Oas2,1,1.6,0.8,0.45,Spleen
,1.2,1.21,1.6,0.2,Spleen
,0.69,0.6,1.77,0.3,Spleen
,0.56,0.42,2.21,1.06,Spleen
,0.32,1.14,1.48,0.6,Spleen
,0.7,0.38,,0.32,Spleen
RTce10,1,0.87,1.32,0.35,Spleen
,0.83,0.6,0.65,0.9,Spleen
,1.23,1.2,1.1,0.2,Spleen
,0.75,1.14,0.8,0.35,Spleen
,1.5,1.45,1.4,0.84,Spleen
Ifit3,1,1.76,4.87,3.27,LN
,0.61,1.24,6.81,3.81,LN
,1.34,0.61,4.26,2.51,LN
,1.69,0.53,5.25,5.46,LN
Ifi27,1,0.05,0.53,0.71,LN
,1.55,0.75,0.22,0.8,LN
,1.1,1.95,0.67,0.05,LN
,0.31,0.89,0.3,0.14,LN
Irf7,1,0.68,2.95,3.19,LN
,1.15,2.53,2.65,2.54,LN
,1.32,1.28,1.8,1.85,LN
,0.58,1.11,3.33,3.2,LN
Isg15,1,0.59,1.51,1.36,LN
,0.98,1.71,2.97,1.97,LN
,0.93,0.52,3.02,1.29,LN
,0.69,0.8,2.35,0.84,LN
Mx1,1,0.82,7.87,5.47,LN
,0.41,0.35,8.34,4.7,LN
,0.85,0.06,5.06,2.78,LN
,0.59,0.61,6.52,5.04,LN
Mx2,1,1.01,0.71,0.01,LN
,0.53,0.45,0.87,0.51,LN
,0.43,0.29,0.82,0.2,LN
,0.64,0.21,0.49,0.13,LN
Oas1b,1,1.14,3.2,4.21,LN
,1.45,1.48,6.68,5.76,LN
,2.31,0.83,4.72,1.23,LN
,0.32,0.95,3.1,4.71,LN
Oas2,1,1.82,5.33,5.33,LN
,2.58,3.39,6.57,3.29,LN
,1.57,0.81,4.98,2.63,LN
,1.91,0.75,8.59,3.33,LN
RTce10,1,1.03,3.49,0.14,LN
,0.23,2.46,1.96,1.5,LN
,2.31,2.33,2.57,1.18,LN
,2.51,2.45,2.8,0.87,LN
Ifit2,1,0.03,1.36,0.38,LN
,0.34,0.62,1.77,1.38,LN
,0.6,0.01,0.82,0.63,LN
,0.45,0.35,1.39,0.71,LN
