Gene,WT_Thymus,KO_Thymus,WT_Spleen,KO_Spleen,WT_LN,KO_LN
IFIT2,1.299150494,2.671457998,1,0.336096021,0.077063447,0.016596432
IFIT2,0.849371658,1.075335284,0.504647289,0.571694431,0.237726062,0.105234441
IFIT2,2.558471192,0.809271554,0.302619311,0.485728723,0.128486675,0.288255241
IFIT2,1.066067011,1.093539214,1.080580261,0.441370077,0.059986986,0.118120906
IFIT2,1.03521921,0.652858814,1.047784109,0.99114628,0.069647821,0.090490298
IRF7,0.767040035,0.361887984,1,1.388017999,0.032243605,0.086786488
IRF7,0.25818669,0.464060921,1.575570437,1.398985221,0.265046174,0.39227286
IRF7,0.807437036,0.344717934,0.477371909,1.091312035,0.156572718,0.511119001
IRF7,0.337598496,0.29475368,0.9038902,1.179665545,0.118890011,0.40239713
IRF7,0.362770189,0.241377133,1.24725195,2.750209117,0.122888832,0.270247528
MX1,0.913909307,0.380538097,1,1.322195641,0.307389535,0.031030878
MX1,0.515211625,0.518401053,1.565285567,1.411038652,2.402230212,1.015950921
MX1,0.682952542,0.422280423,0.738972017,1.111977557,0.967548103,1.887787518
MX1,0.505362991,0.234711666,0.912188762,1.217391981,0.92727189,1.638447253
MX1,0.54814545,0.2245468,1.147234891,1.292339914,1.064286806,1.113666531
IRF3,1.039560018,2.110756359,1,1.1114264,0.10455197,0.16908178
IRF3,0.390259497,1.369040432,0.978445283,1.090369335,0.21085354,0.304699279
IRF3,1.132531334,1.35691096,0.349127097,1.424078035,0.262212592,0.569370668
IRF3,0.635588794,1.752581025,0.96603092,1.088030772,0.266430275,0.530376957
IRF3,0.963185341,0.795035907,0.998259025,1.406186152,0.310515491,0.328969482
ISG15,2.32407407,1.181818982,1,3.310361548,0.133079072,0.013731677
ISG15,2.183517342,1.002967381,6.65939878,3.169694579,1.685943573,0.57646662
ISG15,1.850426605,0.71857098,2.695446342,1.170292329,0.539584741,1.228527231
ISG15,2.173068643,0.680546013,1.074575669,2.245600397,0.349623177,0.552887796
ISG15,1.98815813,0.718196966,6.652186169,13.28357454,0.231257639,0.507457242
STAT1,1.093252392,1.938460358,1,1.01508334,0.398370253,0.364906687
STAT1,0.616989305,1.394336384,1.209451059,1.943528047,1.141489046,0.771237138
STAT1,1.207200854,1.088078242,0.910427923,0.976594204,0.663501071,0.988038928
STAT1,1.371325254,1.150295047,1.51243215,1.703847582,0.847554269,0.522868895
