ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048002	antigen processing and presentation of peptide antigen	14/123	62/16618	1.4947563377877325e-17	1.3449741560349435e-14	1.0473344614853999e-14	RT1-CE10/RT1-N2/RT1-T24-3/RT1-CE4/RT1-CE7/RT1-Db1/RT1-Bb/RT1-T24-4/RT1-Ba/RT1-N3/Tapbp/RT1-DOb/RT1-CE5/Fcer1g	14
GO:0051607	defense response to virus	21/123	224/16618	1.5151792970727866e-17	1.3449741560349435e-14	1.0473344614853999e-14	Bst2/Rtp4/Oas1a/Ifi27/Oas1f/Mx2/Irf7/Oasl/Dhx58/Isg15/Isg20/Ifit3/Mx1/Ifit2/Il1b/Cd8a/Ifit1/Rsad2/Tagap/Ifitm1/Ifitm2	21
GO:0140546	defense response to symbiont	21/123	224/16618	1.5151792970727866e-17	1.3449741560349435e-14	1.0473344614853999e-14	Bst2/Rtp4/Oas1a/Ifi27/Oas1f/Mx2/Irf7/Oasl/Dhx58/Isg15/Isg20/Ifit3/Mx1/Ifit2/Il1b/Cd8a/Ifit1/Rsad2/Tagap/Ifitm1/Ifitm2	21
GO:0002443	leukocyte mediated immunity	22/123	371/16618	3.7243258671276525e-14	1.4608024641415226e-11	1.1375302307879121e-11	RT1-CE10/RT1-N2/Bst2/RT1-T24-3/Ccr6/Klrk1/RT1-CE4/Irf7/RT1-CE7/RT1-Db1/Ccl3/RT1-Bb/RT1-T24-4/Hmox1/Il1b/RT1-N3/RT1-CE5/Cd8a/Tyrobp/Rsad2/Fcer1g/Scimp	22
GO:0045071	negative regulation of viral genome replication	10/123	47/16618	1.3988053483204e-12	2.3193119867361833e-10	1.8060535659704254e-10	Fam111a/Bst2/Oas1a/Mx2/Oasl/Isg15/Isg20/Rsad2/Ifitm1/Ifitm2	10
GO:0035455	response to interferon-alpha	8/123	27/16618	1.4120349207192998e-11	1.1839836033258724e-9	9.219707486815299e-10	Bst2/Oas1a/Ifit3/Ifit2/Myc/Ifit1/Ifitm1/Ifitm2	8
GO:0032069	regulation of nuclease activity	6/123	25/16618	2.2954455965163412e-8	1.1114130224587305e-6	8.654598708396539e-7	Gzma/Hmgb2/Oas1a/Oasl/Neil1/Akt1	6
GO:1990266	neutrophil migration	10/123	125/16618	2.9530145749175804e-8	1.3796276864921958e-6	1.074319245168538e-6	Sell/Jaml/Lgals3/S100a9/Prkca/Ccl3/Il1b/S100a8/Fcer1g/Rhoh	10
GO:1903131	mononuclear cell differentiation	15/123	430/16618	6.688756209670496e-7	2.4070483495070987e-5	1.87437407298021e-5	Lgals1/Ccr6/RT1-Db1/RT1-Bb/Il1b/RT1-Ba/Pparg/Myc/Ly6d/Cd8a/Irf8/Rsad2/Fcer1g/Rhoh/Egr1	15
GO:0071216	cellular response to biotic stimulus	12/123	275/16618	9.34385466274715e-7	3.231517528168268e-5	2.5163901142326574e-5	Hmgb2/Klrk1/Vim/Prkca/Ddit3/Ccl3/Il1b/Cd274/Irf8/Ccr5/Scimp/Akt1	12
GO:0007159	leukocyte cell-cell adhesion	13/123	343/16618	1.567449521127091e-6	5.283693765520814e-5	4.1144244591877e-5	Lgals1/Sell/Lgals3/S100a9/RT1-Db1/RT1-Bb/Il1b/RT1-Ba/Cd274/S100a8/Podxl2/Rhoh/Akt1	13
GO:1903960	negative regulation of anion transmembrane transport	4/123	41/16618	2.3417285859617622e-4	0.004796940941858594	0.0037353889184977094	Prkca/Il1b/Myc/Akt1	4
GO:0051101	regulation of DNA binding	6/123	119/16618	2.5533159956352434e-4	0.005151121588164132	0.004011190200479609	Gzma/Hmgb2/Ddit3/Hmox1/Pparg/Myc	6
GO:0048660	regulation of smooth muscle cell proliferation	7/123	173/16618	3.0259066337944896e-4	0.005714886075031721	0.0044501949000187715	Prkca/Hmox1/Pparg/Myc/Rgs5/Egr1/Akt1	7
GO:0043525	positive regulation of neuron apoptotic process	5/123	82/16618	3.5440045982204247e-4	0.006508747755214477	0.005068376811974038	Ddit3/Ccl3/Il1b/Tyrobp/Egr1	5
GO:2000010	positive regulation of protein localization to cell surface	3/123	20/16618	4.114324702288224e-4	0.007403004514995635	0.005764736602779375	Tyrobp/Fcer1g/Akt1	3
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	4/123	48/16618	4.3233664375479206e-4	0.007675416548793408	0.00597686447857502	Cited2/Ddit3/Hmox1/Egr1	4
GO:0009612	response to mechanical stimulus	9/123	309/16618	4.8766135346031204e-4	0.008543698580689546	0.006652997689174617	Cited2/Serpine2/Prkca/Il1b/Pparg/Myc/Fosb/Egr1/Akt1	9
GO:0043900	regulation of multi-organism process	4/123	53/16618	6.323645062957209e-4	0.01009073269512069	0.007857676703910412	Bst2/Mx2/Prkca/Scimp	4
GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	2/123	10/16618	0.0023521847831391644	0.026492523811963303	0.020629789082185785	Mx2/Mx1	2
GO:0035425	autocrine signaling	2/123	10/16618	0.0023521847831391644	0.026492523811963303	0.020629789082185785	S100a9/S100a8	2
GO:0071455	cellular response to hyperoxia	2/123	10/16618	0.0023521847831391644	0.026492523811963303	0.020629789082185785	Pparg/Egr1	2
