Cell.type	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Tconv	GO:0051607	defense response to virus	14/72	210/16584	2.761725358094673e-13	2.0271064128414902e-10	1.783493165464297e-10	Rtp4/Eif2ak2/Oas2/Irf7/Oas1k/Isg15/Ifit3/Oas3/Ifit2/Aim2/Ddx58/Phb/Mmp12/Ifih1	14
Tconv	GO:0140546	defense response to symbiont	14/72	210/16584	2.761725358094673e-13	2.0271064128414902e-10	1.783493165464297e-10	Rtp4/Eif2ak2/Oas2/Irf7/Oas1k/Isg15/Ifit3/Oas3/Ifit2/Aim2/Ddx58/Phb/Mmp12/Ifih1	14
Tconv	GO:0032727	positive regulation of interferon-alpha production	5/72	23/16584	4.2410541745970526e-8	1.556466882077118e-5	1.3694140716396271e-5	Irf7/Flt3/Ddx58/Mmp12/Ifih1	5
Tconv	GO:0043277	apoptotic cell clearance	4/72	52/16584	7.552657238554519e-5	0.0041064077134066795	0.0036129085503728638	C2/Timd4/Ccr2/Mfge8	4
Tconv	GO:0044546	NLRP3 inflammasome complex assembly	2/72	15/16584	0.0018816802300652864	0.034297467108117735	0.030175671978818628	Eif2ak2/Aim2	2
TfH	GO:0051607	defense response to virus	14/80	215/16585	1.756995801524381e-12	1.2843639309143225e-9	1.171638779227048e-9	Eif2ak2/Oas1b/Ifit1/Ifi27/Dhx58/Oas1a/Mx2/Oasl2/Rsad2/Ifit3/Oasl/Isg15/Aim2/Ddx58	14
TfH	GO:0140546	defense response to symbiont	14/80	215/16585	1.756995801524381e-12	1.2843639309143225e-9	1.171638779227048e-9	Eif2ak2/Oas1b/Ifit1/Ifi27/Dhx58/Oas1a/Mx2/Oasl2/Rsad2/Ifit3/Oasl/Isg15/Aim2/Ddx58	14
TfH	GO:0015671	oxygen transport	2/80	12/16585	0.0014697313228043108	0.0325567756657561	0.02969935543848584	LOC100134871/Hbb	2
TfH	GO:0044546	NLRP3 inflammasome complex assembly	2/80	15/16585	0.0023163658488996285	0.047035095431823014	0.04290695220110862	Eif2ak2/Aim2	2
Treg	GO:0051607	defense response to virus	19/77	216/16588	1.7710148163538688e-19	1.2698176233257238e-16	1.1231962387928482e-16	Rtp4/Dhx58/Ifi44l/Ifi27/Oas1b/Mx1/Ifit1/Eif2ak2/Mx2/Ifih1/Oas1k/Il23r/Isg15/Irf7/Ifit2/Ifit3/Prf1/Oasl/Tlr7	19
Treg	GO:0140546	defense response to symbiont	19/77	216/16588	1.7710148163538688e-19	1.2698176233257238e-16	1.1231962387928482e-16	Rtp4/Dhx58/Ifi44l/Ifi27/Oas1b/Mx1/Ifit1/Eif2ak2/Mx2/Ifih1/Oas1k/Il23r/Isg15/Irf7/Ifit2/Ifit3/Prf1/Oasl/Tlr7	19
Treg	GO:0031497	chromatin assembly	8/77	118/16588	7.212821578394381e-8	2.5857965358543856e-5	2.287223684727692e-5	Znfx1/LOC690126/Cdkn2a/Hist1h2bl/Hist1h3b/Hist1h2bo/Hist2h2be/Hist2h3c2	8
Treg	GO:0032728	positive regulation of interferon-beta production	4/77	35/16588	2.0144410062591558e-5	0.0020633631449825923	0.0018251138440167542	Dhx58/Ifih1/Irf7/Tlr7	4
Treg	GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	2/77	10/16588	9.342812647383345e-4	0.03189903175320885	0.0282157625065086	Mx1/Mx2	2
Treg	GO:0045619	regulation of lymphocyte differentiation	5/77	180/16588	0.001496130328583898	0.04378471206508795	0.03872904502564118	RT1-Ba/Cdkn2a/Fas/Lag3/Tcf7	5
TfR	GO:0051607	defense response to virus	7/36	213/16586	3.176012998922721e-7	9.829760231665822e-5	7.823021492083334e-5	Rtp4/Isg15/Oas1b/Mx2/Ddx58/Oas2/Irf7	7
TfR	GO:0140546	defense response to symbiont	7/36	213/16586	3.176012998922721e-7	9.829760231665822e-5	7.823021492083334e-5	Rtp4/Isg15/Oas1b/Mx2/Ddx58/Oas2/Irf7	7
TfR	GO:0045071	negative regulation of viral genome replication	4/36	41/16586	1.7873688505311027e-6	3.235513703784171e-4	2.574985823265015e-4	Isg15/Oas1b/Mx2/Oas2	4
TfR	GO:0060700	regulation of ribonuclease activity	2/36	13/16586	3.519477851477256e-4	0.01452371193376281	0.011558706206956884	Oas1b/Oas2	2
