Rat_symbol	ISG
Katna1	1
Aig1	1
Cited2	1
L3mbtl3	1
Ncoa7	1
Akap12	1
Myct1	1
Ipcef1	1
Fpr1	1
Fpr2	1
Dnaaf3	1
Leng9	1
Lair1	1
RGD1564801	1
Dmwd	1
Dmpk	1
Bcl3	1
LOC690000	1
Fcgrt	1
E2f8	1
Atp10a	1
Fpr3	1
Ndn	1
Isg20	1
Fanci	1
Mex3b	1
Ctsc	1
Acer3	1
Dgat2	1
Fchsd2	1
Il18bp	1
Gvin1	1
Il4r	1
Il21r	1
Il27	1
Itgal	1
Mcmbp	1
Ifitm1	1
Ifitm3	1
Ifitm6	1
Irf7	1
Ccnd1	1
Bles03	1
Cdc42ep2	1
Cdca5	1
Ehd1	1
Ccdc86	1
Ms4a6e	1
Ms4a4c	1
AABR07006269.1	1
AABR07006275.1	1
Ms4a6bl	1
AABR07006278.1	1
Ms4a6a	1
Jak2	1
Insl6	1
Cd274	1
Asah2	1
Minpp1	1
Fas	1
Ch25h	1
Lipa	1
Ifit2	1
Ifit3	1
Ifit1bl	1
Marchf5	1
Ffar4	1
Entpd1	1
Cutc	1
Nrap	1
Casp7	1
Atrnl1	1
Erap1	1
Glrx	1
Homer1	1
F2r	1
Enc1	1
Cd180	1
Adamts6	1
Mier3	1
Ddx4	1
Gzma	1
Itga1	1
Fbxo4	1
Card6	1
Ca13	1
Il7	1
Nceh1	1
Gnb4	1
AABR07010085.2	1
Ccna2	1
Noct	1
Gpr171	1
Kcnab1	1
Cd1d1	1
Etv3	1
Cct3	1
Muc1	1
Adar	1
Ctss	1
Adamtsl4	1
Ciart	1
Fcgr1a	1
Bcl9	1
Tent5c	1
Mov10	1
Dennd2d	1
Csf1	1
Gpsm2	1
Fam102b	1
LOC103689940	1
Cnn3	1
F3	1
Fnbp1l	1
Ank2	1
Fam241a	1
Dapp1	1
LOC685067	1
Gbp4	1
Gbp2	1
Clca5	1
Ifi44	1
Ifi44l	1
LOC103691744	1
Il6	1
Actr3b	1
Fgl2	1
Gsap	1
AABR07059632.3	1
Met	1
Lrrc4	1
Klrg2	1
Chmp4bl1	1
Casp2	1
Fam131b	1
Epha1	1
Creb5	1
Nod1	1
Ggct	1
Nt5c3a	1
Herc6	1
AABR07060833.1	1
Il12rb2	1
