ProbeSetID	GeneSymbol	IFN.FC	IFNAR_KO.FC	IFNAR_KO.pval	Cell.type	ortholog_name	Group
10346191	Stat1	3.02	1.84	3.517	B	Stat4	Tonic-sensitive
10346960	Ccnyl1	6.87	1.73	1.526	B	Ccnyl1	Tonic-sensitive
10347915	Gm7609	5.12	1.77	2.148	B	Csprs	Tonic-sensitive
10347919	A530040E14Rik	2.9	1	0.017	B	NA	Tonic-insensitive
10347925	Gm7609	5.18	1.73	2.192	B	Csprs	Tonic-sensitive
10347968	Sp100	2.82	1.3	0.955	B	Sp100	Tonic-sensitive
10350800	Tor1aip2	4.54	1.1	0.649	B	Tor1aip2	Tonic-insensitive
10351880	E430029J22Rik	6.83	2.9	2.503	B	NA	Tonic-sensitive
10353192	Eya1	2.51	0.73	1.648	B	Eya1	Tonic-insensitive
10353524	Ogfrl1	6.17	1.26	0.862	B	Ogfrl1	Tonic-insensitive
10354054	Mitd1	4.02	1.41	2.912	B	Mitd1	NA
10354521	Inpp1	2.67	1.1	0.702	B	Inpp1	Tonic-insensitive
10356274	Csprs	4.37	1.65	2.38	B	Csprs	Tonic-sensitive
10359181	Tor3a	5.54	1.42	2.804	B	Tor3a	NA
10360370	BC094916	4.4	3.27	3.314	B	NA	Tonic-sensitive
10360373	E030037K03Rik	5.1	4.63	3.205	B	NA	Tonic-sensitive
10360377	AI607873	23.52	0.97	0.081	B	NA	Tonic-insensitive
10360382	Ifi204	18.1	1.15	0.518	B	Mnda	Tonic-insensitive
10361828	Cited2	2.64	0.87	0.524	B	Cited2	Tonic-insensitive
10363210	Pkib	4.83	1.06	0.296	B	Pkib	Tonic-insensitive
10363498	Ppa1	5.49	1.24	0.921	B	Ppa1	Tonic-insensitive
10367224	Stat2	4.59	1.15	1.006	B	Stat2	Tonic-insensitive
10368616	Zufsp	3.93	1.11	0.249	B	NA	Tonic-insensitive
10368647	Dse	2.87	0.94	0.229	B	Dse	Tonic-insensitive
10372648	Lyz2	2.56	0.89	0.178	B	Lyz2	Tonic-insensitive
10374500	Vps54	2.8	1.15	0.533	B	Vps54	Tonic-insensitive
10374793	Pnpt1	3.57	1.11	0.351	B	Pnpt1	Tonic-insensitive
10375515	Ifi47	6.21	1.72	3.906	B	Ifi47	Tonic-sensitive
10376060	Irf1	2.8	1.17	1.403	B	Irf1	Tonic-insensitive
10376324	Gm12250	8.8	2.5	2.746	B	NA	Tonic-sensitive
10376326	Irgm2	6.31	1.46	2.66	B	Igtp	NA
10378068	Xaf1	6.07	2.5	2.709	B	Xaf1	Tonic-sensitive
10379615	Slfn5	20.85	5.63	2.789	B	Slfn5	Tonic-sensitive
10379633	Slfn1	10.73	1.43	2.006	B	AC128859.3	Tonic-insensitive
10381408	Ifi35	4.66	1.4	1.673	B	Ifi35	NA
10381445	Tmem106a	2.77	0.93	0.234	B	Tmem106a	Tonic-insensitive
10381588	Grn	2.66	0.83	1.086	B	Grn	Tonic-insensitive
10383152	Rnf213	4.8	2.74	4.134	B	Rnf213	Tonic-sensitive
10383168	Rnf213	4.29	2.64	3.459	B	Rnf213	Tonic-sensitive
10383192	Rnf213	6.66	3	2.7	B	Rnf213	Tonic-sensitive
10383194	Rnf213	4.97	2.15	3.812	B	Rnf213	Tonic-sensitive
10383196	Rnf213	5.55	2.46	3.85	B	Rnf213	Tonic-sensitive
10383198	Rnf213	3.94	2.67	3.823	B	Rnf213	Tonic-sensitive
10383200	Rnf213	5.71	2.44	3.174	B	Rnf213	Tonic-sensitive
10383202	Rnf213	4.04	2.59	4.056	B	Rnf213	Tonic-sensitive
10383204	Rnf213	5.19	2.62	4.36	B	Rnf213	Tonic-sensitive
10383206	Rnf213	5.51	2.79	3.448	B	Rnf213	Tonic-sensitive
10383208	Rnf213	7.04	2.72	2.695	B	Rnf213	Tonic-sensitive
10383210	Rnf213	5.63	2.32	5.276	B	Rnf213	Tonic-sensitive
10383212	Rnf213	5.07	2.66	4.012	B	Rnf213	Tonic-sensitive
10383214	Rnf213	4.26	2.64	3.596	B	Rnf213	Tonic-sensitive
10383233	Rnf213	4.26	2.31	3.282	B	Rnf213	Tonic-sensitive
10385500	Irgm1	5.96	2.09	3.095	B	Irgm	Tonic-sensitive
10385504	Gm5431	7.58	1.38	1.074	B	RGD1559575	Tonic-insensitive
10385507	Gm12185	5.81	0.98	0.192	B	RGD1559575	Tonic-insensitive
10385518	Tgtp1	7.67	3.5	3.243	B	NA	Tonic-sensitive
10385533	Tgtp1	6.63	3.43	3.295	B	NA	Tonic-sensitive
10388902	Lgals9	3.06	1.1	0.717	B	Lgals5	Tonic-insensitive
10388902	Lgals9	3.06	1.1	0.717	B	Lgals9	Tonic-insensitive
10389130	Unc45b	3.89	1.21	2.176	B	Unc45b	Tonic-insensitive
10389134	Slfn9	8.88	1.38	1.818	B	Slfn13	Tonic-insensitive
10389143	Slfn8	4.32	3.46	5.456	B	Slfn13	Tonic-sensitive
10389151	Slfn10-ps	2.91	1.24	0.972	B	NA	NA
10391207	Dhx58	8.28	2.95	3.06	B	Dhx58	Tonic-sensitive
10393573	Lgals3bp	7.43	3.81	2.645	B	Lgals3bp	Tonic-sensitive
10395039	Cmpk2	10.78	1.72	3.092	B	Cmpk2	NA
10395259	Nampt	5.24	1.33	2.08	B	Nampt	NA
10395273	Gdap10	5.29	1.46	1.415	B	NA	NA
10398039	Serpina3f	7.31	1.02	0.034	B	RGD1565462	Tonic-insensitive
10399710	Rsad2	20.68	2.74	2.534	B	Rsad2	Tonic-sensitive
10401192	Zfyve26	2.54	1.02	0.135	B	Zfyve26	Tonic-insensitive
10402347	Ifi27l2a	3.38	7.06	3.684	B	Ifi27l2b	Tonic-sensitive
10403273	Asb13	3.01	0.96	0.263	B	Asb13	Tonic-insensitive
10406982	Adamts6	2.51	1.22	1.217	B	Adamts6	NA
10408280	Lrrc16a	4.6	0.84	0.454	B	NA	Tonic-insensitive
10410435	Papd7	3.42	1.19	2.555	B	NA	Tonic-insensitive
10416566	Epsti1	3.69	1.16	0.737	B	Epsti1	Tonic-insensitive
10420483	Phf11	10.34	1.4	1.079	B	Phf11	Tonic-insensitive
10420483	Phf11	10.34	1.4	1.079	B	Phf11b	Tonic-insensitive
10420483	Phf11	10.34	1.4	1.079	B	ENSRNOG00000065100	Tonic-insensitive
10420483	Phf11	10.34	1.4	1.079	B	ENSRNOG00000069746	Tonic-insensitive
10420488	D14Ertd668e	11.45	1.18	0.493	B	NA	Tonic-insensitive
10420497	Gm6907	9.22	1.48	1.381	B	NA	NA
10420503	Setdb2	6.68	1.2	0.504	B	Setdb2	Tonic-insensitive
10421697	9030625A04Rik	3.51	0.93	0.15	B	NA	Tonic-insensitive
10424400	Myc	3.2	0.9	0.611	B	Myc	Tonic-insensitive
10425808	Tspo	2.72	1.08	0.32	B	Tspo	Tonic-insensitive
10429843	Parp10	4.16	1.12	1.418	B	Parp10	Tonic-insensitive
10430510	Tmem184b	4.61	1.09	0.589	B	Tmem184b	Tonic-insensitive
10431935	Amigo2	2.59	0.93	0.976	B	Amigo2	Tonic-insensitive
10434778	Rtp4	9.69	6.67	2.775	B	Rtp4	Tonic-sensitive
10435457	Parp9	5.5	1.45	2.152	B	Parp9	NA
10436348	Tomm70a	2.81	1.11	0.546	B	Tomm70	Tonic-insensitive
10436442	Fam60a	2.66	1.12	0.855	B	NA	Tonic-insensitive
10436561	Usp25	2.91	1.17	1.028	B	Usp25	Tonic-insensitive
10437224	Mx2	22.78	3.77	1.757	B	Mx2	Tonic-sensitive
10437432	Nmral1	5.48	1.23	2.509	B	Nmral1	Tonic-insensitive
10437668	Socs1	4.3	1.1	0.447	B	Socs1	Tonic-insensitive
10439249	Parp14	4.96	1.9	2.965	B	Parp14	Tonic-sensitive
10439268	Dtx3l	3.59	1.26	1.206	B	Dtx3l	NA
10439312	Cd86	5.33	1	0.006	B	Cd86	Tonic-insensitive
10439583	Sidt1	6.29	1.19	2.32	B	Sidt1	Tonic-insensitive
10439854	Bbx	3.04	1.05	0.222	B	Bbx	Tonic-insensitive
10440037	Nit2	2.96	0.97	0.11	B	Nit2	Tonic-insensitive
10440427	D16Ertd472e	2.54	0.94	0.232	B	RGD1563888	Tonic-insensitive
10441233	Mx1	27.64	3.58	2.366	B	Mx1	Tonic-sensitive
10444056	Daxx	4.35	1.09	0.511	B	Daxx	Tonic-insensitive
10445774	B430306N03Rik	7.24	0.88	1.513	B	AABR07066753.1	Tonic-insensitive
10445774	B430306N03Rik	7.24	0.88	1.513	B	RGD1307182	Tonic-insensitive
10445774	B430306N03Rik	7.24	0.88	1.513	B	ENSRNOG00000042468	Tonic-insensitive
10446777	Ehd3	4.67	0.74	1.754	B	Ehd3	Tonic-insensitive
10450145	Psmb9	2.68	1.24	1.52	B	Psmb9	NA
10450675	H2-T24	3.3	1.42	1.911	B	RT1-T24-1	Tonic-sensitive
10450675	H2-T24	3.3	1.42	1.911	B	RT1-T24-4	Tonic-sensitive
10450694	H2-T22	2.64	1.38	2.039	B	RT1-N3	Tonic-sensitive
10450694	H2-T22	2.64	1.38	2.039	B	RT1-N2	Tonic-sensitive
10451287	Isg15	5.73	1.02	0.14	B	Isg15	Tonic-insensitive
10451646	A530064D06Rik	3.27	0.91	0.229	B	AABR07066753.1	Tonic-insensitive
10451646	A530064D06Rik	3.27	0.91	0.229	B	RGD1307182	Tonic-insensitive
10451646	A530064D06Rik	3.27	0.91	0.229	B	ENSRNOG00000042468	Tonic-insensitive
10452978	Gm6548	3.54	1.44	2.122	B	NA	Tonic-sensitive
10452980	Eif2ak2	9.9	2.69	2.507	B	Eif2ak2	Tonic-sensitive
10455912	Isoc1	2.53	1.11	0.702	B	Isoc1	Tonic-insensitive
10455954	Gm4951	2.93	0.98	0.06	B	MGC108823	Tonic-insensitive
10455961	Iigp1	9.52	1.02	0.087	B	MGC108823	Tonic-insensitive
10455970	BC023105	4.28	0.78	1.018	B	NA	Tonic-insensitive
10458028	Gypc	3.75	0.99	0.051	B	Gypc	Tonic-insensitive
10461093	Pla2g16	2.61	1.01	0.065	B	NA	Tonic-insensitive
10461721	Mpeg1	9.32	1.09	0.131	B	Mpeg1	Tonic-insensitive
10462390	Cd274	3.2	0.85	0.57	B	Cd274	Tonic-insensitive
10462613	Ifit2	34.41	2.29	2.553	B	Ifit2	NA
10462618	Ifit3	17.06	8.79	2.438	B	Ifit3	Tonic-sensitive
10462621	I830012O16Rik	90.56	1.82	1.13	B	NA	Tonic-insensitive
10462623	Ifit1	26.65	3.98	2.692	B	Ifit1	Tonic-sensitive
10462683	Pcgf5	4.64	1.27	1.467	B	Pcgf5	Tonic-insensitive
10462791	05.Mar	3.08	0.99	0.077	B	NA	Tonic-insensitive
10462973	Hells	2.72	1.19	0.377	B	Hells	NA
10463211	Pi4k2a	2.58	1.04	0.295	B	Pi4k2a	Tonic-insensitive
10463670	Sfxn2	2.56	1.05	0.446	B	Sfxn2	Tonic-insensitive
10466127	AW112010	2.73	0.81	0.675	B	NA	Tonic-insensitive
10466210	Ms4a6d	3.14	0.88	1.063	B	Ms4a6a	Tonic-insensitive
10466932	Insl6	3.46	0.88	0.565	B	Insl6	Tonic-insensitive
10467149	2010002M12Rik	3.36	1.39	2.296	B	NA	Tonic-sensitive
10469255	Prkcq	2.99	0.95	0.482	B	Prkcq	Tonic-insensitive
10469278	Il2ra	3.44	0.86	0.491	B	Il2ra	Tonic-insensitive
10471457	St6galnac4	2.73	1	0.008	B	St6galnac4	Tonic-insensitive
10472350	Gca	4.75	1.2	0.588	B	Gca	Tonic-insensitive
10473356	Ube2l6	7.63	1.47	3.305	B	Ube2l6	NA
10476775	Naa20	2.64	1.12	0.538	B	Naa20	Tonic-insensitive
10479411	Ogfr	2.73	1.27	2.604	B	Ogfr	NA
10480035	Pfkfb3	3.94	1.14	0.732	B	Pfkfb3	Tonic-insensitive
10481056	Notch1	2.78	1.09	0.521	B	Notch1	Tonic-insensitive
10481900	Rabepk	3.01	1.13	1.208	B	Rabepk	Tonic-insensitive
10482448	Zeb2	3.04	0.91	0.24	B	Zeb2	Tonic-insensitive
10482517	Nmi	3.72	1.16	0.977	B	Nmi	Tonic-insensitive
10483046	Dpp4	2.68	1.03	0.091	B	Dpp4	Tonic-insensitive
10483110	Ifih1	18.45	1.55	1.5	B	Ifih1	Tonic-insensitive
10485624	Prrg4	3.07	0.95	0.154	B	Prrg4	Tonic-insensitive
10486396	Ehd4	2.99	1.07	0.367	B	Ehd4	Tonic-insensitive
10489127	Rbl1	3.53	1.11	0.421	B	Rbl1	Tonic-insensitive
10489850	Znfx1	3.61	1.02	0.399	B	Znfx1	Tonic-insensitive
10489891	B4galt5	3	1.2	2.023	B	B4galt5	Tonic-insensitive
10490150	Zbp1	9.21	1.87	2.888	B	Zbp1	Tonic-sensitive
10490903	Car13	5.04	1.16	0.905	B	AABR07063126.1	Tonic-insensitive
10490903	Car13	5.04	1.16	0.905	B	Ca13	Tonic-insensitive
10491091	Tnfsf10	13.79	1.09	0.395	B	Tnfsf10	Tonic-insensitive
10492628	Serpini1	2.94	1.34	1.371	B	Serpini1	Tonic-sensitive
10493565	Adar	2.53	1.42	3.678	B	Adar	Tonic-sensitive
10496539	Gbp5	4.06	1.03	0.111	B	Gbp5	Tonic-insensitive
10496569	Gbp6	8.92	1.11	0.287	B	Gbp6	Tonic-insensitive
10496569	Gbp6	8.92	1.11	0.287	B	ENSRNOG00000066766	Tonic-insensitive
10496580	Gbp3	2.6	1.03	0.237	B	Gbp4	Tonic-insensitive
10496592	Gbp2	5.96	1.18	0.518	B	Gbp2	Tonic-insensitive
10496756	Mcoln3	2.69	1.01	0.045	B	Mcoln3	Tonic-insensitive
10498350	P2ry14	5.53	1.12	0.648	B	P2ry14	Tonic-insensitive
10500911	Mov10	4.18	1.29	2.563	B	Mov10	NA
10501164	Csf1	7.76	1.1	0.529	B	Csf1	Tonic-insensitive
10502791	Ifi44	12.79	1.61	2.136	B	Ifi44	NA
10503334	Gem	2.54	1.15	0.65	B	Gem	Tonic-insensitive
