ProbeSetID	GeneSymbol	Cell.type	FC	P.val	logFC	ortholog_name	Count	Specificity	Group
10587639	Nt5e	NK	0.38	0.00251188643150957	-1.3959286763311392	Nt5e	1	NK	repressed
10491083	Nceh1	DC	1.5	0.03548133892335755	0.5849625007211562	Nceh1	1	DC	induced
10495830	Sec24d	B	2.05	0.02511886431509579	1.0356239097307212	Sec24d	2	Nonspecific	induced
10495830	Sec24d	DC	1.28	0.04265795188015926	0.35614381022527536	Sec24d	2	Nonspecific	induced
10346799	Icos	MF	0.75	0.04265795188015926	-0.4150374992788438	Icos	2	Nonspecific	repressed
10346799	Icos	NK	0.7	0.01230268770812381	-0.5145731728297583	Icos	2	Nonspecific	repressed
10355312	Ikzf2	DC	2.73	0.04073802778041128	1.4489009511451278	Ikzf2	1	DC	induced
10355403	Fn1	DC	2.1	0.03467368504525316	1.070389327891398	Fn1	1	DC	induced
10357630	Srgap2	MF	1.33	0.00426579518801592	0.41142624572646497	Srgap2	1	MF	induced
10359870	Pbx1	Treg	1.14	0.00213796208950223	0.18903382439001687	Pbx1	1	Treg	induced
10363541	Ass1	B	1.34	0.0165958690743756	0.4222330006830478	Ass1	4	Nonspecific	induced
10363541	Ass1	DC	2.21	0.01584893192461113	1.144046369616707	Ass1	4	Nonspecific	induced
10381872	Tlk2	B	1.44	0.02398832919019489	0.5260688116675876	Tlk2	4	Nonspecific	induced
10381872	Tlk2	DC	2.36	0.0309029543251359	1.2387868595871163	Tlk2	4	Nonspecific	induced
10381872	Tlk2	MF	1.49	0.00316227766016837	0.5753123306874368	Tlk2	4	Nonspecific	induced
10381872	Tlk2	NK	0.89	0.01	-0.16812275880832692	Tlk2	4	Nonspecific	repressed
10400057	Arl4a	B	1.35	7.244359600749898e-4	0.43295940727610627	Arl4a	1	B	induced
10401138	Atp6v1d	DC	2.13	0.01737800828749375	1.0908534304511135	Atp6v1d	2	Nonspecific	induced
10401138	Atp6v1d	Treg	0.92	0.02570395782768863	-0.12029423371771177	Atp6v1d	2	Nonspecific	repressed
10412562	Flnb	DC	2.32	0.03162277660168379	1.2141248053528473	Flnb	1	DC	induced
10422321	Dzip1	DC	2.6	0.02290867652767773	1.3785116232537298	Dzip1	1	DC	induced
10424370	Trib1	B	1.37	0.01698243652461744	0.45417589318580215	Trib1	3	Nonspecific	induced
10424370	Trib1	DC	2.84	0.03715352290971726	1.5058909297299572	Trib1	3	Nonspecific	induced
10424370	Trib1	MF	0.54	0.03890451449942807	-0.888968687611256	Trib1	3	Nonspecific	repressed
10429140	Ndrg1	DC	4.11	0.01148153621496883	2.0391383939069585	Ndrg1	3	Nonspecific	induced
10429140	Ndrg1	NK	0.52	0.01380384264602884	-0.9434164716336324	Ndrg1	3	Nonspecific	repressed
10429140	Ndrg1	T8	0.6	0.01318256738556407	-0.7369655941662062	Ndrg1	3	Nonspecific	repressed
10441509	Ppp1r2	DC	2.22	0.03981071705534973	1.1505596765753814	Ppp1r2	2	Nonspecific	induced
10448278	Mmp25	DC	3.27	0.00257039578276886	1.709290635723358	Mmp25	2	Nonspecific	induced
10448278	Mmp25	NK	1.16	0.02951209226666385	0.21412480535284736	Mmp25	2	Nonspecific	induced
10457250	Arhgap12	NK	0.69	6.456542290346556e-4	-0.5353317329965558	Arhgap12	1	NK	repressed
10460841	Cdc42bpg	B	0.9	0.01348962882591653	-0.15200309344504995	Cdc42bpg	2	Nonspecific	repressed
10460841	Cdc42bpg	Tgd	0.77	0.04786300923226382	-0.3770696490798233	Cdc42bpg	2	Nonspecific	repressed
10463945	Dusp5	B	1.41	0.01819700858609983	0.4956951626240688	Dusp5	3	Nonspecific	induced
10463945	Dusp5	DC	2.06	0.02754228703338166	1.0426443374084935	Dusp5	3	Nonspecific	induced
10463945	Dusp5	GN	0.42	0.02290867652767773	-1.2515387669959646	Dusp5	3	Nonspecific	repressed
10466606	Anxa1	DC	3.04	0.01548816618912481	1.6040713236688608	Anxa1	1	DC	induced
10469404	Cacnb2	NK	1.18	0.01096478196143185	0.23878685958711648	Cacnb2	1	NK	induced
10471154	Ass1	B	1.34	0.01819700858609983	0.4222330006830478	Ass1	4	Nonspecific	induced
10471154	Ass1	DC	2.24	0.02398832919019489	1.1634987322828796	Ass1	4	Nonspecific	induced
10492231	Med12l	B	1.24	0.01949844599758045	0.3103401206121505	Med12l	2	Nonspecific	induced
10492231	Med12l	DC	2.28	0.04897788193684462	1.189033824390017	Med12l	2	Nonspecific	induced
10501860	Fnbp1l	DC	3.41	0.01	1.769771739249448	Fnbp1l	1	DC	induced
10503202	Chd7	NT	1.41	0.0309029543251359	0.4956951626240688	Chd7	6	Nonspecific	induced
10504838	Nr4a3	B	0.89	0.01096478196143185	-0.16812275880832692	Nr4a3	1	B	repressed
10506714	Lrp8	DC	4.38	0.00371535229097172	2.130930869826449	Lrp8	1	DC	induced
10510509	Gpr157	DC	2.39	0.01047128548050899	1.2570106182060241	Gpr157	1	DC	induced
10513722	Tnfsf15	DC	2.73	2.23872113856834e-4	1.4489009511451278	Tnfsf15	1	DC	induced
10519555	Abcb1b	MF	1.32	0.0165958690743756	0.4005379295837288	Abcb1b	1	MF	induced
10523647	Aff1	DC	2.29	0.02691534803926915	1.1953475983222193	Aff1	6	Nonspecific	induced
10523647	Aff1	MF	1.37	0.02187761623949553	0.45417589318580215	Aff1	6	Nonspecific	induced
10523647	Aff1	NK	0.79	0.01148153621496883	-0.3400754415976217	Aff1	6	Nonspecific	repressed
10534718	Trip6	DC	2.38	0.01047128548050899	1.250961573533219	Trip6	1	DC	induced
10569129	Sct	DC	2.12	0.04570881896148749	1.0840642647884746	Sct	1	DC	induced
10579976	Elmod2	MF	1.48	0.01071519305237606	0.5655971758542251	ENSRNOG00000011225	4	Nonspecific	induced
10579976	Elmod2	MF	1.48	0.01071519305237606	0.5655971758542251	Elmod2	4	Nonspecific	induced
10579976	Elmod2	NK	0.78	0.02290867652767773	-0.3584539709124763	ENSRNOG00000011225	4	Nonspecific	repressed
10579976	Elmod2	NK	0.78	0.02290867652767773	-0.3584539709124763	Elmod2	4	Nonspecific	repressed
10594636	Ppp1r2	DC	2.4	0.02754228703338166	1.2630344058337937	Ppp1r2	2	Nonspecific	induced
10601778	Armcx3	DC	2.47	0.02454708915685029	1.304511041809953	Armcx3	2	Nonspecific	induced
10601778	Armcx3	NT	1.22	0.00138038426460288	0.28688114778816154	Armcx3	2	Nonspecific	induced
10345752	Il1r2	GN	3.12	0.01819700858609983	1.6415460290875237	Il1r2	1	GN	induced
10349404	Mgat5	MF	1.23	0.00776247116628692	0.29865831556451516	Mgat5	1	MF	induced
10359161	Soat1	B	0.64	0.02818382931264453	-0.6438561897747247	Soat1	2	Nonspecific	repressed
10359161	Soat1	GN	2.8	0.02754228703338166	1.4854268271702418	Soat1	2	Nonspecific	induced
10363231	Smpdl3a	GN	2.45	0.04168693834703355	1.292781749227846	Smpdl3a	1	GN	induced
10368199	Myb	NK	0.43	0.00141253754462275	-1.217591435072627	Myb	1	NK	repressed
10368970	Prdm1	MF	1.42	0.00977237220955811	0.5058909297299573	Prdm1	2	Nonspecific	induced
10368970	Prdm1	NK	0.64	0.02290867652767773	-0.6438561897747247	Prdm1	2	Nonspecific	repressed
10374236	Upp1	NT	1.11	0.01737800828749375	0.15055967657538138	Upp1	2	Nonspecific	induced
10374236	Upp1	Tgd	1.16	0.00173780082874937	0.21412480535284736	Upp1	2	Nonspecific	induced
10395129	Tmem18	MF	1.34	0.00588843655355589	0.4222330006830478	Tmem18	1	MF	induced
10399691	Id2	GN	3.08	0.02570395782768863	1.622930350920177	Id2	1	GN	induced
10416887	Slain1	GN	2.35	0.03311311214825911	1.232660756790275	Slain1	2	Nonspecific	induced
10416887	Slain1	NK	0.61	0.03548133892335755	-0.7131188522118385	Slain1	2	Nonspecific	repressed
10426368	Lrrk2	GN	4	0.03630780547701014	2	Lrrk2	4	Nonspecific	induced
10426368	Lrrk2	NK	1.44	0.01949844599758045	0.5260688116675876	Lrrk2	4	Nonspecific	induced
10442098	Fpr3	NK	1.34	0.04570881896148749	0.4222330006830478	Fpr3	2	Nonspecific	induced
10442098	Fpr3	NK	1.34	0.04570881896148749	0.4222330006830478	Fpr2	2	Nonspecific	induced
10444824	H2-Q6	GN	2.21	0.02344228815319922	1.144046369616707	RT1-CE1	7	Nonspecific	induced
10444824	H2-Q6	GN	2.21	0.02344228815319922	1.144046369616707	RT1-CE11	7	Nonspecific	induced
10444824	H2-Q6	GN	2.21	0.02344228815319922	1.144046369616707	RT1-CE2	7	Nonspecific	induced
10444824	H2-Q6	GN	2.21	0.02344228815319922	1.144046369616707	AABR07044383.1	7	Nonspecific	induced
10444824	H2-Q6	GN	2.21	0.02344228815319922	1.144046369616707	RT1-CE16	7	Nonspecific	induced
10444824	H2-Q6	GN	2.21	0.02344228815319922	1.144046369616707	RT1-CE14	7	Nonspecific	induced
10444824	H2-Q6	GN	2.21	0.02344228815319922	1.144046369616707	ENSRNOG00000069480	7	Nonspecific	induced
10450075	H2-K1	GN	2.45	0.0162181009735893	1.292781749227846	RT1-CE1	14	Nonspecific	induced
10450075	H2-K1	GN	2.45	0.0162181009735893	1.292781749227846	RT1-CE11	14	Nonspecific	induced
10450075	H2-K1	GN	2.45	0.0162181009735893	1.292781749227846	RT1-CE2	14	Nonspecific	induced
10450075	H2-K1	GN	2.45	0.0162181009735893	1.292781749227846	AABR07044383.1	14	Nonspecific	induced
10450075	H2-K1	GN	2.45	0.0162181009735893	1.292781749227846	RT1-CE16	14	Nonspecific	induced
10450075	H2-K1	GN	2.45	0.0162181009735893	1.292781749227846	RT1-CE14	14	Nonspecific	induced
10450075	H2-K1	GN	2.45	0.0162181009735893	1.292781749227846	ENSRNOG00000069480	14	Nonspecific	induced
10450075	H2-K1	NK	1.35	0.03311311214825911	0.43295940727610627	RT1-CE1	14	Nonspecific	induced
10450075	H2-K1	NK	1.35	0.03311311214825911	0.43295940727610627	RT1-CE11	14	Nonspecific	induced
10450075	H2-K1	NK	1.35	0.03311311214825911	0.43295940727610627	RT1-CE2	14	Nonspecific	induced
10450075	H2-K1	NK	1.35	0.03311311214825911	0.43295940727610627	AABR07044383.1	14	Nonspecific	induced
10450075	H2-K1	NK	1.35	0.03311311214825911	0.43295940727610627	RT1-CE16	14	Nonspecific	induced
10450075	H2-K1	NK	1.35	0.03311311214825911	0.43295940727610627	RT1-CE14	14	Nonspecific	induced
10450075	H2-K1	NK	1.35	0.03311311214825911	0.43295940727610627	ENSRNOG00000069480	14	Nonspecific	induced
10459655	Poli	NK	0.66	0.00190546071796324	-0.5994620704162712	Poli	1	NK	repressed
10476590	Macrod2	T4	0.79	0.03630780547701014	-0.3400754415976217	AABR07054000.1	1	T4	repressed
10487879	Rnf24	MF	1.49	0.00416869383470335	0.5753123306874368	Rnf24	1	MF	induced
